,username,follower,username_raw
164,@fabtemyloluwa,False,fabtemyloluwa
165,@_sherif_radwan,True,_sherif_radwan
166,@folarin23,False,folarin23
167,@hollylawly,True,hollylawly
168,@johnmccrea,True,johnmccrea
169,@kryptoking80,False,kryptoking80
170,@mrgnw,False,mrgnw
171,@jhinku,False,jhinku
172,@petrgiles,True,petrgiles
173,@andrewpwalters,True,andrewpwalters
174,@anthonysyoon,False,anthonysyoon
175,@joshuavoydik,False,joshuavoydik
176,@klee_adrian,True,klee_adrian
177,@ActualRockyWold,True,ActualRockyWold
178,@a_nedayvoda,False,a_nedayvoda
179,@stefan_arrr,False,stefan_arrr
180,@eyitemi_jalogho,False,eyitemi_jalogho
181,@ofadoo4lyf,False,ofadoo4lyf
182,@TobyWillcocks,False,TobyWillcocks
183,@Lord_Dbk,False,Lord_Dbk
184,@Tommyleecoleman,True,Tommyleecoleman
185,@siagcsgo,False,siagcsgo
186,@TeamHus,False,TeamHus
187,@oluwafemiog,True,oluwafemiog
188,@smackingg,False,smackingg
189,@kn_neeraj,False,kn_neeraj
190,@theonlydragos,True,theonlydragos
191,@DiMacharia_,True,DiMacharia_
192,@q23a1,False,q23a1
193,@Kela_Mulenga,True,Kela_Mulenga
194,@morrisgelblum,False,morrisgelblum
195,@AnthonyCastrio,False,AnthonyCastrio
196,@ash54123,False,ash54123
197,@rjhallsted,True,rjhallsted
198,@theAkomolafe,True,theAkomolafe
199,@OlutosinFashusi,False,OlutosinFashusi
200,@l_diale,True,l_diale
201,@andrwmrtn,False,andrwmrtn
202,@NicolasMarcora,True,NicolasMarcora
203,@bghalami,False,bghalami
204,@kostas_fal,True,kostas_fal
205,@iambryansteele,False,iambryansteele
206,@ajntwalle,True,ajntwalle
207,@VolpeViola,False,VolpeViola
208,@TheWeirdWorld,False,TheWeirdWorld
209,@anonstalker6,False,anonstalker6
210,@TRexCoder,False,TRexCoder
211,@carsonjonze,False,carsonjonze
212,@shree21,False,shree21
213,@han_asoka,True,han_asoka
214,@kenthecoder,False,kenthecoder
215,@mathku46,False,mathku46
216,@carlocristobal,False,carlocristobal
217,@payalpandey96,False,payalpandey96
218,@JosephDFox,True,JosephDFox
219,@mckelle,False,mckelle
220,@calchulus,False,calchulus
221,@topherPedersen,True,topherPedersen
222,@ThisIsOtto,True,ThisIsOtto
223,@Mark_F_Wright,False,Mark_F_Wright
224,@IanBongaardt,False,IanBongaardt
225,@alecsteinfeld,False,alecsteinfeld
226,@CSabounchi,False,CSabounchi
227,@Umi_wetu,False,Umi_wetu
228,@robbiedhickey,True,robbiedhickey
229,@druids01,False,druids01
230,@Atif_Rz,False,Atif_Rz
231,@mjschal,False,mjschal
232,@mdrootin,False,mdrootin
233,@gearside,False,gearside
234,@_amirabs,False,_amirabs
235,@ste_ady,False,ste_ady
236,@Hera_Caine,False,Hera_Caine
237,@jessmtong,False,jessmtong
238,@shacheng,False,shacheng
239,@RyanJSperoni,False,RyanJSperoni
240,@oikhis,False,oikhis
241,@jnavma,False,jnavma
242,@itslaurenwagner,True,itslaurenwagner
243,@kerrimup,True,kerrimup
244,@DouglasTan30,False,DouglasTan30
245,@grrosegr,True,grrosegr
246,@BinishAli,True,BinishAli
247,@YarbroughShawn,True,YarbroughShawn
248,@Felice211,False,Felice211
249,@earthboundtrev,False,earthboundtrev
250,@jhvmIV,False,jhvmIV
251,@wrightph,True,wrightph
252,@DavidGLopez_,True,DavidGLopez_
253,@HugoPakula,False,HugoPakula
254,@andrewmargetts,False,andrewmargetts
255,@John__Lightning,False,John__Lightning
256,@rolandixor,True,rolandixor
257,@mikemaitoza1,True,mikemaitoza1
258,@IamDarkDrumz,True,IamDarkDrumz
259,@kevlozano,False,kevlozano
260,@erdincciftci,False,erdincciftci
261,@JakeOls,True,JakeOls
262,@julien,False,julien
263,@A_donovan73,True,A_donovan73
264,@tsunderji,True,tsunderji
265,@seyitaylor,False,seyitaylor
266,@derekbsnow,False,derekbsnow
267,@treyclosson,True,treyclosson
268,@ankitnair06,False,ankitnair06
269,@realspencervail,False,realspencervail
270,@TimAhmann,False,TimAhmann
271,@abhishekharsh4,False,abhishekharsh4
272,@hrlomax,False,hrlomax
273,@HFmaS,True,HFmaS
274,@blester_MS,False,blester_MS
275,@ish_pre,True,ish_pre
276,@KVibhor,True,KVibhor
277,@codycolson,False,codycolson
278,@JustinList,False,JustinList
279,@acangiano,False,acangiano
280,@itsaminiman,False,itsaminiman
281,@sudyk,False,sudyk
282,@schuylerlarson,False,schuylerlarson
283,@TheCryptoBro,False,TheCryptoBro
284,@alexanderperse,True,alexanderperse
285,@CallisterLiam,False,CallisterLiam
286,@myswerve,False,myswerve
287,@ShreyansJ_,True,ShreyansJ_
288,@YRayyes,False,YRayyes
289,@jonwerthen,False,jonwerthen
290,@TheDerrickLi,True,TheDerrickLi
291,@garybasin,True,garybasin
292,@Clem_C,False,Clem_C
293,@MalachiNash,False,MalachiNash
294,@thetacit1101,False,thetacit1101
295,@maikoschaffrath,True,maikoschaffrath
296,@StartupSnowball,False,StartupSnowball
297,@Taklooman,False,Taklooman
298,@Brich1028,True,Brich1028
299,@ErinMichelson,False,ErinMichelson
300,@DzvairoKay,False,DzvairoKay
301,@ndbroadbent,True,ndbroadbent
302,@quietbyday,False,quietbyday
303,@jcap49,False,jcap49
304,@farrowhardy1,False,farrowhardy1
305,@FillaJacq,False,FillaJacq
306,@Badewannenente,True,Badewannenente
307,@mjosephjr88,False,mjosephjr88
308,@deictictw,True,deictictw
309,@KyleMenchaca,False,KyleMenchaca
310,@xsquad_db,False,xsquad_db
311,@sahooamarjeet,True,sahooamarjeet
312,@giacaglia,True,giacaglia
313,@MichaelGingras,True,MichaelGingras
314,@RedlerMatt,True,RedlerMatt
315,@PORGrock,True,PORGrock
316,@productdavid,False,productdavid
317,@RyanMaynard00,True,RyanMaynard00
318,@Schweston,False,Schweston
319,@noahhgoldberg,True,noahhgoldberg
320,@JDcarlu,False,JDcarlu
321,@Bison1776,True,Bison1776
322,@JackRabuck,True,JackRabuck
323,@juancaviglia,True,juancaviglia
324,@BostonWino,False,BostonWino
325,@muaaz_qadri,False,muaaz_qadri
326,@OldsLouis,False,OldsLouis
327,@amaboura,True,amaboura
328,@hestmatematik,False,hestmatematik
329,@avyas0,False,avyas0
330,@applevidur,True,applevidur
331,@AkshhatS,True,AkshhatS
332,@AQuietSomeone,False,AQuietSomeone
333,@ltownsend10,False,ltownsend10
334,@negiaman63,False,negiaman63
335,@FVGamesPres,False,FVGamesPres
336,@rodneysampson,False,rodneysampson
337,@jimmahar,False,jimmahar
338,@Abhiman46347079,False,Abhiman46347079
339,@TheMetaist,True,TheMetaist
340,@johndotuk,False,johndotuk
341,@tylerkarlen,False,tylerkarlen
342,@bdesarnauts,False,bdesarnauts
343,@rmoas,False,rmoas
344,@sparkycollier,False,sparkycollier
345,@drakerehfeld,True,drakerehfeld
346,@renn,True,renn
347,@DylanJCarty,True,DylanJCarty
348,@rafidhoda,True,rafidhoda
349,@DasfNYC,False,DasfNYC
350,@arturtavr,False,arturtavr
351,@themanephraim,True,themanephraim
352,@CooeeCreative,True,CooeeCreative
353,@AlexBETreece,True,AlexBETreece
354,@irasanchezdev,False,irasanchezdev
355,@lelanVi,True,lelanVi
356,@sebastiangood,False,sebastiangood
357,@justindross,False,justindross
358,@mister_whistler,False,mister_whistler
359,@cetico,True,cetico
360,@LeahFessler,False,LeahFessler
361,@jbrowder1,False,jbrowder1
